18if,"Kaminaga, Akito"
All-Free kono Natsu Ichioshi Monogatari Campaign Kokuchi Douga,"Matsuno, Choromatsu"
Angel Beats!,"Otonashi, Yuzuru"
Angel Beats! Specials,"Otonashi, Yuzuru"
Angel Beats!: Another Epilogue,"Otonashi, Yuzuru"
Ao no Exorcist,"Pheles, Mephisto"
Ao no Exorcist Movie,"Pheles, Mephisto"
Ao no Exorcist: Kuro no Iede,"Pheles, Mephisto"
Ao no Exorcist: Kyoto Fujouou-hen,"Pheles, Mephisto"
Ao no Exorcist: Kyoto Fujouou-hen OVA,"Pheles, Mephisto"
Ao no Exorcist: Ura Ex,"Pheles, Mephisto"
Arakawa Under the Bridge,"Ichinomiya, Kou"
Arakawa Under the Bridge x Bridge,"Ichinomiya, Kou"
ēlDLIVE,"Victor, Vega"
Baby Baachan,"Jinguuji, Eiki"
Baby Steps 2nd Season,"O'Brian, Alex"
Bakemonogatari,"Araragi, Koyomi"
Bakemonogatari Recap,"Araragi, Koyomi"
Bakukyuu Hit! Crash B-Daman,"Kamioka, Teruma"
Bakuten Shoot Beyblade,Delinquent A
Beatless,"Watarai, Ginga"
Binan Koukou Chikyuu Boueibu LOVE!,"Kusatsu, Kinshirou"
Binan Koukou Chikyuu Boueibu LOVE! LOVE!,"Kusatsu, Kinshirou"
Binan Koukou Chikyuu Boueibu LOVE! LOVE! LOVE!,"Kusatsu, Kinshirou"
Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,Shizuku
Blood-C: The Last Dark,"Mogari, Kuroto"
Bobobo-bo Bo-bobo,Yashinomi Man
Brave 10,"Unno, Rokurou"
Break Blade,Zess
Break Blade 1: Kakusei no Toki,Zess
Break Blade 2: Ketsubetsu no Michi,Zess
Break Blade 3: Kyoujin no Ato,Zess
Break Blade 4: Sanka no Chi,Zess
Break Blade 6: Doukoku no Toride,Zess
Break Blade Picture Drama,Zess
Brothers Conflict,Juli
Brothers Conflict: Setsubou,Juli
Bungou Stray Dogs,"Edogawa, Ranpo"
Bungou Stray Dogs 2nd Season,"Edogawa, Ranpo"
Bungou Stray Dogs 3rd Season,"Edogawa, Ranpo"
Bungou Stray Dogs: Dead Apple,"Edogawa, Ranpo"
Bungou Stray Dogs: Hitori Ayumu,"Edogawa, Ranpo"
Busou Shinki,Jindou
Captain Earth,"Arashi, Teppei"
Captain Tsubasa J,"Urabe, Hanji"
Carnival Phantasm,"Matou, Shinji"
Carole & Tuesday,Tao
Cluster Edge,"Chrosite, Rhodo"
Code-E,"Brinberg, Adol"
Corrector Yui,"Fuji, Takashi"
Crayon Shin-chan,Buriburizaemon
Crayon Shin-chan Movie 21: Bakauma! B-Kyuu Gourmet Survival Battle!!,Truffle
Damekko Doubutsu,Peganosuke
Denpa Kyoushi (TV),"Kagami, Junichirou"
Devil Survivor 2 The Animation,"Kuze, Hibiki"
Devils Line,"Makimura, Takeshi"
Diamond no Ace,"Sanada, Shunpei"
Diamond no Ace: Act II,"Sanada, Shunpei"
Diamond no Ace: Second Season,"Sanada, Shunpei"
Digimon Frontier,"Minamoto, Kouji"
Digimon Frontier: Ornismon Fukkatsu!!,"Minamoto, Kouji"
Digimon Savers,Craniummon
Doukyuusei (Movie),"Kusakabe, Hikaru"
Dragon Ball GT,Poperu
Dragon Crisis!,Onyx
DT Eightron,Ryou
Durarara!!,"Orihara, Izaya"
Durarara!! Specials,"Orihara, Izaya"
Durarara!!x2 Ketsu,"Orihara, Izaya"
Durarara!!x2 Ketsu: Dufufufu!!,"Orihara, Izaya"
Durarara!!x2 Shou,"Orihara, Izaya"
Durarara!!x2 Shou: Watashi no Kokoro wa Nabe Moyou,"Orihara, Izaya"
Durarara!!x2 Ten,"Orihara, Izaya"
Durarara!!x2 Ten: Onoroke Chakapoko,"Orihara, Izaya"
Emiya-san Chi no Kyou no Gohan,"Matou, Shinji"
Ergo Proxy,Security Bureau employee
Fate/Extra: Last Encore,"Matou, Shinji"
Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai,"Matou, Shinji"
Fate/stay night,"Matou, Shinji"
Fate/stay night Movie: Heaven's Feel - I. Presage Flower,"Matou, Shinji"
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,"Matou, Shinji"
Fate/stay night Movie: Unlimited Blade Works,"Matou, Shinji"
Fate/stay night TV Reproduction,"Matou, Shinji"
Fate/stay night: Unlimited Blade Works,"Matou, Shinji"
Fate/stay night: Unlimited Blade Works 2nd Season,"Matou, Shinji"
Fate/stay night: Unlimited Blade Works Prologue,"Matou, Shinji"
Fractale,Collin
Fune wo Amu,"Nishioka, Masashi"
Fuse: Teppou Musume no Torimonochou,Makuwari
Gakuen Heaven,"Saionji, Kaoru"
Galilei Donna,Cicinho
Gantz,"Hojo, Masanobu"
Gantz 2nd Stage,"Hojo, Masanobu"
Gegege no Kitarou (2018),"Isurugi, Rei"
Ginga Eiyuu Densetsu: Die Neue These - Kaikou,"Fork, Andrew"
Ginga Eiyuu Densetsu: Die Neue These - Seiran 1,"Fork, Andrew"
Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,"Fork, Andrew"
Ginga Tetsudou Monogatari: Eien e no Bunkiten,"Von Meinster, Klaus"
Gintama,No. 502
Glass no Usagi,"Ei, Tsuneo"
Goku Sayonara Zetsubou Sensei,"Kumeta, Kouji"
Green Green,"Hotta, Kenichi"
Green Green OVA,"Hotta, Kenichi"
Hachimitsu to Clover,"Takemoto, Yuuta"
Hachimitsu to Clover II,"Takemoto, Yuuta"
Hachimitsu to Clover Specials,"Takemoto, Yuuta"
Haikyuu!!,"Takeda, Ittetsu"
Haikyuu!! Movie 1: Owari to Hajimari,"Takeda, Ittetsu"
Haikyuu!! Movie 2: Shousha to Haisha,"Takeda, Ittetsu"
Haikyuu!! Second Season,"Takeda, Ittetsu"
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,"Takeda, Ittetsu"
Haikyuu!!: To the Top,"Takeda, Ittetsu"
"Haikyuu!!: vs. ""Akaten""","Takeda, Ittetsu"
Hakkenden: Touhou Hakken Ibun,"Satomi, Riou"
Hakkenden: Touhou Hakken Ibun 2nd Season,"Satomi, Riou"
Hakushaku to Yousei,"Ferman, Paul"
Hakushaku to Yousei Specials,"Ferman, Paul"
Hamatora The Animation,Art
Hanamonogatari,"Araragi, Koyomi"
Hero Bank,"Amano, Nagare"
Hungry Days: Aoharu ka yo.,Peter
I'll/CKBC,"Hiiragi, Hitonari"
Inazuma Eleven: Ares no Tenbin,"Haizaki, Ryouhei"
Inazuma Eleven: Orion no Kokuin,"Haizaki, Ryouhei"
Inazuma Eleven: Saikyou Gundan Ogre Shuurai,"Sleed, Baddap"
"Iriya no Sora, UFO no Natsu","Suizenji, Kunihiro"
Isekai Quartet 2,Kyouhukou
Itsudatte Bokura no Koi wa 10 cm Datta.,"Setoguchi, Yuu"
Ixion Saga DT,"Dukakis, Erekpyle"
Jibaku-kun,Kai
K: Seven Stories Movie 2 - Side:Blue - Tenrou no Gotoku,"Habari, Jin"
K: Seven Stories Movie 5 - Memory of Red - Burn,"Habari, Jin"
Kachou no Koi,"Kumagai, Yukio"
Kakushigoto,"Gotou, Kakushi"
Kakushigoto (TV),"Gotou, Kakushi"
Kamigami no Asobi,"Hringhorni, Balder"
Kanon,Kuze
Karakuri Circus (TV),Cupidia
Karneval (TV),Gareki
Karneval Specials,Gareki
Kishuku Gakkou no Juliet,"Fold, Scott"
Kita e.: Diamond Dust Drops,"Jinguuji, Minoru"
Kizumonogatari I: Tekketsu-hen,"Araragi, Koyomi"
Kizumonogatari II: Nekketsu-hen,"Araragi, Koyomi"
Kizumonogatari III: Reiketsu-hen,"Araragi, Koyomi"
Kobato.,"Doumoto, Takashi"
Konbini Kareshi,"Asumi, Natsu"
Konjiki no Gash Bell!!,"Kubozuka, Eita"
Koyomi History,"Araragi, Koyomi"
Koyomimonogatari,"Araragi, Koyomi"
Kujira no Kora wa Sajou ni Manabu!,Shuan
Kujira no Kora wa Sajou ni Utau,Shuan
Kuroko no Basket,"Akashi, Seijuurou"
Kuroko no Basket 2nd Season,"Akashi, Seijuurou"
Kuroko no Basket 2nd Season NG-shuu,"Akashi, Seijuurou"
Kuroko no Basket 3rd Season,"Akashi, Seijuurou"
Kuroko no Basket Movie 4: Last Game,"Akashi, Seijuurou"
Kuroko no Basket NG-shuu,"Akashi, Seijuurou"
Kuroko no Basket: Mou Ikkai Yarimasen ka,"Akashi, Seijuurou"
Kuroko no Basket: Oshaberi Demo Shimasen ka,"Akashi, Seijuurou"
Kuroko no Basket: Saikou no Present Desu,"Akashi, Seijuurou"
Kuroko no Basket: Tip Off,"Akashi, Seijuurou"
Lupin III: Princess of the Breeze - Kakusareta Kuuchuu Toshi,"Viccolobute, Shion Adel"
Macross F,"Blanc, Mikhail"
Macross F Movie 1: Itsuwari no Utahime,"Blanc, Mikhail"
Macross F Movie 2: Sayonara no Tsubasa,"Blanc, Mikhail"
Macross FB7: Ore no Uta wo Kike!,"Blanc, Mikhail"
Maji de Watashi ni Koi Shinasai!,"Naoe, Yamato"
Makai Ouji: Devils and Realist,Michael
Maoyuu Maou Yuusha,Seinen Shounin
"Maoyuu Maou Yuusha: Kono Monogatari wa, Daniku dake Dewanai no Ja!",Seinen Shounin
Master Keaton,"Funase, Shinsuke"
Medaka Box Abnormal,"Munakata, Kei"
Micchiri Neko,Piyopiyo
Mini Hama: Minimum Hamatora,Art
Miracle Train: Chuo-sen e Youkoso,"Nakano, Riku"
Miss Monochrome The Animation 2,Ruu-chan
Miss Monochrome The Animation 3,Ruu-chan
Mission-E,"Brinberg, Adol"
Mobile Suit Gundam 00,"Erde, Tieria"
Mobile Suit Gundam 00 Second Season,"Erde, Tieria"
Mobile Suit Gundam 00 Special Edition,"Erde, Tieria"
