"""Bungaku Shoujo"" Kyou no Oyatsu: Hatsukoi","Amano, Tooko"
,
"""Bungaku Shoujo"" Memoire","Amano, Tooko"
,
"""Bungaku Shoujo"" Movie","Amano, Tooko"
,
.hack//Quantum,Sakuya
,
3-gatsu no Lion,"Kawamoto, Hinata"
,
3-gatsu no Lion 2nd Season,"Kawamoto, Hinata"
,
5-toubun no Hanayome,"Nakano, Ichika"
,
5-toubun no Hanayome ∬,"Nakano, Ichika"
,
Akame ga Kill!,"Ubiquitous, Seryuu"
,
Akame ga Kill!: AkaKill! Gekijou,"Ubiquitous, Seryuu"
,
Akatsuki no Yona OVA,Kaya
,
Ange Vierge,Code Ω46 Xenia
,
Angel Beats!,"Tachibana, Kanade"
,
Angel Beats! Specials,"Tachibana, Kanade"
,
Animegataris,"Yang, Bei Bei"
,
Ao no Exorcist,"Moriyama, Shiemi"
,
Ao no Exorcist Movie,"Moriyama, Shiemi"
,
Ao no Exorcist: Kuro no Iede,"Moriyama, Shiemi"
,
Ao no Exorcist: Kyoto Fujouou-hen,"Moriyama, Shiemi"
,
Ao no Exorcist: Kyoto Fujouou-hen OVA,"Moriyama, Shiemi"
,
Ao no Exorcist: Ura Ex,"Moriyama, Shiemi"
,
Aoi Hana,Le Petit Prince
,
Aquarion Evol,"Wong, Zessica"
,
Aragne no Mushikago,Rin
,
Asobi ni Iku yo!,"Futaba, Aoi"
,
Asobi ni Iku yo!: Asobi ni Oide,"Futaba, Aoi"
,
Asu no Yoichi!,"Ikaruga, Kagome"
,
Aura: Maryuuin Kouga Saigo no Tatakai,"Satou, Ryouko"
,
Aware! Meisaku-kun,Ameonna-sensei
,
B-gata H-kei,Miyano no Ero-gami
,
Baby Princess 3D Paradise 0 [Love],"Amatsuka, Mizuki"
,
Bakemonogatari,"Sengoku, Nadeko"
,
Basquash!,"JD, Coco"
,
Beatless,"Tsutsumi, Mika"
,
Binbougami ga!,"Sakura, Ichiko"
,
Black★Rock Shooter (OVA),"Kuroi, Mato"
,
Black★Rock Shooter (TV),"Kuroi, Mato"
,
Blame! Movie,Cibo
,
Blassreiter,Elea
,
Blood-C: The Last Dark,"Tsukiyama, Hiro"
,
Boku wa Robot-goshi no Kimi ni Koi wo Suru,Saki
,
Boku wa Tomodachi ga Sukunai,"Hasegawa, Kobato"
,
Boku wa Tomodachi ga Sukunai Episode 0,"Hasegawa, Kobato"
,
Boku wa Tomodachi ga Sukunai Next,"Hasegawa, Kobato"
,
Boku wa Tomodachi ga Sukunai: Relay Shousetsu wa Ketsumatsu ga Hanpanai,"Hasegawa, Kobato"
,
Bokura wa Minna Kawai-sou,"Kawai, Ritsu"
,
Bokura wa Minna Kawai-sou: Hajimete no,"Kawai, Ritsu"
,
Boogiepop wa Warawanai (2019),"Minahoshi, Suiko"
,
Break Blade,"Zaubraff, Cleo"
,
Break Blade 1: Kakusei no Toki,"Zaubraff, Cleo"
,
Break Blade 2: Ketsubetsu no Michi,"Zaubraff, Cleo"
,
Break Blade 3: Kyoujin no Ato,"Zaubraff, Cleo"
,
Break Blade 4: Sanka no Chi,"Zaubraff, Cleo"
,
Break Blade 5: Shisen no Hate,"Zaubraff, Cleo"
,
Break Blade 6: Doukoku no Toride,"Zaubraff, Cleo"
,
Break Blade Picture Drama,"Zaubraff, Cleo"
,
Buddy Complex,"Nasu, Mayuka"
,
Buddy Complex: Daremo Shiranai Ashita e,"Nasu, Mayuka"
,
Buddy Complex: Kanketsu-hen - Ano Sora ni Kaeru Mirai de,"Nasu, Mayuka"
,
Bungou Stray Dogs,"Montgomery, Lucy Maud"
,
Bungou Stray Dogs 2nd Season,"Montgomery, Lucy Maud"
,
Bungou Stray Dogs 3rd Season,"Montgomery, Lucy Maud"
,
Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou,"Mariya, Yuri"
,
Cencoroll,Yuki
,
Cencoroll Connect,Yuki
,
Chou Shounen Tanteidan Neo,"Neko, Fujin"
,
Choujigen Game Neptune The Animation,Pururut
,
Choujigen Game Neptune The Animation: Yakusoku no Eien - True End,Pururut
,
Chouyaku Hyakuninisshu: Uta Koi.,Masako
,
Chu Feng: B.E.E,Liuli
,
Coppelion,"Fukasaku, Aoi"
,
Cutie Honey Universe,"Kisaragi, Honey"
,
D-Frag!,"Shibasaki, Roka"
,
D-Frag!*,"Shibasaki, Roka"
,
Dai Mahou Touge,"Tanaka, Potaru"
,
Danball Senki W,"Hanasaki, Ran"
,
Danganronpa 3: The End of Kibougamine Gakuen - Kibou-hen,"Nanami, Chiaki"
,
Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,"Nanami, Chiaki"
,
Dantalian no Shoka,"Disward, Hugh Anthony"
,
Darker than Black: Ryuusei no Gemini,"Pavlichenko, Suou"
,
Deadman Wonderland,Shiro
,
Denpa Kyoushi (TV),"Mukyou, Reiko"
,
Denpa Onna to Seishun Otoko,Hanazawa
,
Denpa Onna to Seishun Otoko: Mayonaka no Taiyou,Hanazawa
,
Devidol!,Hana
,
Dog Days,"VinoCacao, Noir"
,
Dog Days',"VinoCacao, Noir"
,
Dog Days'',"VinoCacao, Noir"
,
Druaga no Tou: The Sword of Uruk,Henaro
,
Durarara!!,"Sonohara, Anri"
,
Durarara!! Specials,"Sonohara, Anri"
,
Durarara!!x2 Ketsu,"Sonohara, Anri"
,
Durarara!!x2 Shou,"Sonohara, Anri"
,
Durarara!!x2 Shou: Watashi no Kokoro wa Nabe Moyou,"Sonohara, Anri"
,
Durarara!!x2 Ten,"Sonohara, Anri"
,
Eromanga-sensei,"Gokou, Hinata"
,
Fairy Tail (2014),Zera
,
Fairy Tail OVA (2016),Zera
,
Fairy Tail: Final Series,Zera
,
Fate/Prototype,"Sajou, Ayaka"
,
Fractale,Nessa
,
Freezing,"Linchen, Rana"
,
Freezing Specials,"Linchen, Rana"
,
Freezing Vibration,"Linchen, Rana"
,
Freezing Vibration Specials,"Linchen, Rana"
,
Fuusen Inu Tinny 2nd Season,Kaitou Nitty
,
Fuusen Inu Tinny: Nandaka Fushigi na - Kyouryuu no Kuni,Kaitou Nitty
,
Gabriel DropOut,"Shiraha Ainsworth, Raphiel"
,
Gabriel DropOut Specials,"Shiraha Ainsworth, Raphiel"
,
Gatchaman Crowds Insight,Gelsadra
,
Getsumen To Heiki Mina,"Hazemi, Nakoru"
,
Ginga Eiyuu Densetsu: Die Neue These - Seiran 1,"von Mariendorf, Hildegard"
,
Gleipnir,"Aoki, Erena"
,
Go! Go! Kadendanshi,Dryanna
,
Go! Go! Kadendanshi 2nd Season,Dryanna
